cp_white,cp_black,player,diff_level
0.480000,-0.480000,1,-3
0.680000,-0.680000,0,-3
2.540000,-2.540000,1,-3
6.010000,-6.010000,0,-3
-7.280000,7.280000,1,-3
4.530000,-4.530000,0,-3
-2.530000,2.530000,1,-3
-1.280000,1.280000,0,-3
0.830000,-0.830000,1,-3
3.420000,-3.420000,0,-3
7.460000,-7.460000,1,-3
-5.310000,5.310000,0,-3
4.980000,-4.980000,1,-3
-4.650000,4.650000,0,-3
4.250000,-4.250000,1,-3
-4.910000,4.910000,0,-3
4.810000,-4.810000,1,-3
-4.280000,4.280000,0,-3
3.750000,-3.750000,1,-3
-4.840000,4.840000,0,-3
6.880000,-6.880000,1,-3
-7.000000,7.000000,0,-3
7.010000,-7.010000,1,-3
7.150000,-7.150000,0,-3
-7.230000,7.230000,1,-3
7.230000,-7.230000,0,-3
-5.310000,5.310000,1,-3
-6.620000,6.620000,0,-3
-6.330000,6.330000,1,-3
-6.200000,6.200000,0,-3
-6.000000,6.000000,1,-3
-6.770000,6.770000,0,-3
-6.710000,6.710000,1,-3
-6.790000,6.790000,0,-3
10.230000,-10.230000,1,-3
-9.770000,9.770000,0,-3
9.080000,-9.080000,1,-3
-8.990000,8.990000,0,-3
